Year,Round,Abbreviation,Position,GridPosition,Target,log_grid_pos,driver_win_rate,driver_avg_pos,team_avg_pos,driver_recent_avg_pos,driver_wet_avg_pos,track_avg_pos,track_avg_sc_laps,track_rain_prob,grid_team_interaction,driver_hot_form,teammate_diff,pos_gain_avg,Event_encoded,CircuitType_encoded
2019,7,GRO,14,14,0,2.70805020110221,0.0,14.5,12.75,13.8,20.0,20.0,0.0,0.0,34.52764006405318,12.666666666666666,1.75,-4.333333333333333,9,1
2019,7,RAI,15,16,-1,2.833213344056216,0.0,10.833333333333334,12.75,11.4,20.0,20.0,0.0,0.0,36.123470136716755,13.666666666666666,-1.9166666666666667,-1.1666666666666667,9,1
2019,7,RUS,16,18,-2,2.9444389791664403,0.0,15.666666666666666,16.333333333333332,15.6,20.0,20.0,0.0,0.0,48.092503326385184,15.666666666666666,-0.6666666666666666,2.5,9,1
2019,7,MAG,17,0,17,0.0,0.0,11.0,12.75,12.0,20.0,20.0,0.0,0.0,0.0,11.333333333333334,-1.75,-3.1666666666666665,9,1
2019,7,KUB,18,19,-1,2.995732273553991,0.0,17.0,16.333333333333332,17.0,20.0,20.0,0.0,0.0,48.93029380138185,17.333333333333332,0.6666666666666666,-1.1666666666666667,9,1
2019,7,ALB,19,13,6,2.6390573296152584,0.0,10.5,11.583333333333334,9.8,20.0,20.0,0.0,0.0,30.569080734710077,10.0,-1.0833333333333333,-1.0,9,1
2019,7,NOR,20,8,12,2.1972245773362196,0.0,12.5,12.416666666666666,12.6,20.0,20.0,0.0,0.0,27.282205168591393,13.0,0.08333333333333333,-2.3333333333333335,9,1
2019,8,HAM,1,1,0,0.6931471805599453,0.7142857142857143,1.2857142857142858,1.7142857142857142,1.2,20.0,20.0,0.0,0.0,1.1882523095313346,1.0,-0.42857142857142855,0.5714285714285714,14,0
2019,8,BOT,2,2,0,1.0986122886681098,0.2857142857142857,2.142857142857143,1.7142857142857142,2.4,20.0,20.0,0.0,0.0,1.8833353520024738,3.0,0.42857142857142855,0.2857142857142857,14,0
2019,8,LEC,3,3,0,1.3862943611198906,0.0,6.571428571428571,4.928571428571429,7.6,20.0,20.0,0.0,0.0,6.832450779805176,9.333333333333334,1.6428571428571428,-0.7142857142857143,14,0
2019,8,VER,4,4,0,1.6094379124341003,0.0,3.857142857142857,6.285714285714286,4.0,20.0,20.0,0.0,0.0,10.116466878157201,4.0,-2.4285714285714284,1.0,14,0
2019,8,VET,5,7,-2,2.0794415416798357,0.0,3.2857142857142856,4.928571428571429,2.8,20.0,20.0,0.0,0.0,10.248676169707762,2.6666666666666665,-1.6428571428571428,-0.5714285714285714,14,0
2019,8,SAI,6,6,0,1.9459101490553132,0.0,12.142857142857142,12.857142857142858,9.2,20.0,20.0,0.0,0.0,25.018844773568315,8.333333333333334,-0.7142857142857143,-0.7142857142857143,14,0
2019,8,RAI,7,12,-5,2.5649493574615367,0.0,11.428571428571429,12.928571428571429,13.0,20.0,20.0,0.0,0.0,33.16113097860987,15.333333333333334,-1.5,-0.8571428571428571,14,0
